X,Y,Z
-22.449366,-64.00698,-5.9626946
-25.31937,-64.90139,-6.2094355
-28.439363,-65.10091,-6.159937
-31.520151,-65.13711,-6.1362886
-34.68205,-65.140854,-6.0746
-37.822323,-65.13733,-6.0121775
-39.8367,-64.007965,-6.690669
-40.32949,-61.3487,-6.728071
-40.4286,-58.316975,-6.705516
-40.46947,-57.59736,-7.8680177
-41.40767,-58.864162,-7.504277
-42.934124,-60.331276,-7.6991687
-43.261,-60.956047,-7.898347
-43.31181,-58.77114,-6.979269
-43.31738,-55.791836,-6.863958
-43.342243,-55.07856,-8.054264
-43.361412,-57.174862,-7.4365916
-43.36915,-60.11687,-7.334927
-43.46679,-61.85428,-7.500227
-43.817844,-60.575302,-7.7760653
-43.922066,-57.900494,-6.8737698
-43.946037,-54.81898,-6.688231
-43.952553,-54.14647,-7.8129616
-43.984974,-56.29476,-7.1963954
-43.98941,-59.2044,-7.11758
-45.109093,-61.22661,-7.779484
-47.67916,-61.758457,-6.9307785
-50.74004,-61.871746,-6.7411075
-53.81624,-61.899155,-6.7497187
-56.934826,-61.9118,-6.750246
-60.06745,-61.921413,-6.748336
-62.08593,-60.797382,-7.4699254
-62.58273,-58.14738,-7.5766892
-62.705063,-55.137405,-6.6336327
-62.728348,-54.533115,-7.1571894
-62.757362,-56.836388,-7.444386
-62.76119,-59.829384,-7.3976483
-62.760406,-60.503532,-8.487012
-62.73025,-58.353317,-7.863077
-62.7256,-55.468315,-6.8159266
-62.72451,-54.86054,-7.3623114
-62.748657,-57.194508,-7.6495423
-62.751644,-60.16341,-6.749785
-62.75072,-60.833252,-7.261234
-62.72621,-58.527084,-7.5462637
-62.723026,-55.59592,-6.647196
-62.7272,-52.46595,-6.479582
-62.729813,-51.78647,-7.6062174
-62.760635,-53.87352,-6.9922476
-62.764652,-56.80974,-6.8994765
-62.760307,-59.925312,-6.9190745
-63.881626,-61.966217,-7.5836983
-66.44376,-62.50009,-6.7383037
-69.50371,-62.61492,-6.548989
-72.63624,-62.64394,-6.4912467
-75.79263,-62.65762,-6.4284835
-78.887054,-62.66798,-6.4047647
-80.936035,-61.541965,-7.0681944
-81.42756,-58.88382,-7.150822
-81.53757,-55.792526,-7.0915856
-81.55266,-55.135258,-8.178327
-81.584,-57.276257,-7.550879
-81.602234,-57.839638,-7.5454483
-81.584595,-55.57932,-6.5856433
-81.57003,-55.09418,-7.128418
-81.58649,-57.399277,-7.4054937
-82.70111,-59.262688,-8.119544
-84.31506,-58.67418,-8.082271
-84.7543,-56.12279,-7.051675
-84.822495,-55.525463,-7.5627246
-84.85883,-57.757393,-6.9332247
-84.87474,-58.285828,-7.477779
-84.855774,-56.034767,-6.7069597
-84.84258,-55.535854,-7.1682525
