X,Y,Z
-24.302069,0.06028244,-5.7041225
-24.462826,0.58551484,-5.7489185
-24.34292,0.74119925,-5.774764
-25.418898,0.77909017,-6.111512
-26.830177,0.6800923,-6.2003846
-26.615616,0.53873414,-6.1862583
-26.64144,0.50801104,-6.182634
-26.653904,0.50255275,-6.1803193
-26.653082,0.5001763,-6.1784697
-26.652988,0.50071794,-6.17677
-26.652988,0.50072443,-6.175109
-26.652988,0.50072277,-6.173478
-26.652988,0.50072277,-6.171841
-27.731707,0.49290112,-6.497411
-30.346498,0.4881166,-6.528093
-32.194183,0.66017395,-6.6731925
-32.336163,2.124223,-6.8802238
-32.35464,4.822075,-6.895483
-32.36431,6.868275,-7.039457
-32.580875,7.250133,-7.0369
-32.64192,7.163831,-7.0329823
-32.635117,8.245909,-7.3661423
-32.49709,9.735091,-7.4425344
-32.233826,9.982311,-7.4339128
-32.236286,10.047901,-7.4295607
-32.254597,11.112323,-7.7574716
-32.18728,12.435403,-7.838084
-31.938534,12.25074,-7.8195243
-31.89565,12.16769,-7.8163037
-31.879107,12.172514,-7.813895
-31.882477,12.174162,-7.812013
-31.882086,12.174677,-7.810305
-31.882086,12.174753,-7.808639
-31.882086,12.174753,-7.807004
-31.882086,12.174753,-7.8053784
-31.882086,12.174753,-7.8037367
-31.882086,12.174753,-7.8021083
-31.882086,12.174753,-7.800486
-31.882086,12.174753,-7.79885
-31.887148,13.159432,-7.205956
-33.085323,14.6587715,-7.5119143
-34.501698,14.978915,-7.6275773
-34.23235,15.016844,-7.609753
-34.16311,14.968199,-7.606214
-34.147545,14.9683695,-7.6037436
-34.1496,14.971768,-7.601841
-34.149002,14.971479,-7.600127
-34.149002,14.971261,-7.5984592
-34.149002,14.971261,-7.5968194
-34.149002,14.971261,-7.595192
-34.149002,14.971261,-7.593553
-34.149002,14.971261,-7.5919285
-34.149002,14.971261,-7.5903063
-34.149002,14.971261,-7.588645
-34.149002,14.971261,-7.587021
-34.149002,14.971261,-7.5853834
-34.149002,14.971261,-7.583758
-35.126057,14.964334,-6.994757
-35.431965,14.92877,-7.55149
-34.23479,14.816529,-7.606324
-34.157616,14.528262,-7.585108
-34.128826,14.472334,-7.5781956
-34.119396,14.483589,-7.57468
-34.12071,14.481338,-7.5724387
-34.121506,14.480989,-7.5706024
-34.113773,13.502604,-6.9793034
-33.976498,12.172456,-7.017252
-33.77214,12.352259,-7.0267596
-33.77923,11.250014,-7.362669
-33.91072,9.722701,-7.4401364
-34.146503,10.549586,-7.8818746
-34.2845,12.061703,-7.955296
-34.578773,12.1887,-7.9450073
-34.548775,12.115954,-7.940294
-34.563103,11.15335,-7.363749
-35.745544,9.617112,-7.6615696
-37.38258,9.350969,-7.7577214
-37.799717,9.406331,-7.749517
-36.908974,9.451893,-7.2132354
-35.46844,9.360757,-7.2431912
-35.14357,9.234342,-7.2581205
-35.109066,9.293441,-7.258924
-35.12244,9.286484,-7.2582283
-35.119236,9.286535,-7.256889
-35.119484,9.2868185,-7.255371
-36.192062,9.279519,-7.579048
-38.774307,9.26874,-6.6743064
-40.551147,9.365607,-6.7500563
-40.94134,9.407888,-6.7878203
-40.941555,9.322578,-6.7941194
-40.93483,9.337467,-6.7954617
-40.931705,9.337906,-6.794804
-40.931053,9.337982,-6.7934704
-40.931053,9.3381405,-6.791944
-40.931053,9.3381405,-6.790343
-40.931053,9.3381405,-6.7887096
-40.931053,9.3381405,-6.7870784
-40.931053,9.3381405,-6.785445
-40.931053,9.3381405,-6.7838182
-40.931053,9.3381405,-6.7821817
-40.931053,9.3381405,-6.780558
-40.931053,9.3381405,-6.778935
-40.931053,9.3381405,-6.777295
-40.931053,9.3381405,-6.775673
-40.939243,10.409998,-7.0994377
-41.054054,11.834296,-7.189419
-41.19422,11.62038,-7.1742644
-41.22337,11.649707,-7.170427
-41.22805,11.662577,-7.168003
-41.223618,10.589602,-7.4922323
-41.14386,9.199904,-7.5822005
-41.093258,8.46417,-6.969858
-41.204956,7.2391195,-6.9913263
-41.50594,7.2905197,-7.0038157
-41.581833,7.3160634,-7.00668
-41.59764,7.32049,-7.0064373
-41.60079,7.321034,-7.0052304
-41.600803,7.3203692,-7.003754
-41.600803,7.320502,-7.002182
-41.600803,7.320502,-7.0005608
-41.600803,7.320502,-6.998941
-41.600803,7.320502,-6.997308
-41.600803,7.320502,-6.9956737
-41.598236,6.2572246,-7.3287296
-41.556847,4.6274695,-7.409077
-41.316406,3.2660067,-7.576984
-41.123783,1.8174763,-7.671069
-40.923286,2.0179863,-7.654938
-40.923412,1.9811965,-7.651079
-40.929432,1.9684722,-7.6487093
-40.927578,1.9664719,-7.6468315
-40.928963,2.9431648,-7.0617256
-40.925064,5.586709,-6.9740868
-40.8115,7.328634,-7.126954
-40.474262,7.195238,-7.1115503
-41.47576,7.1195364,-7.476213
-43.037746,6.992671,-7.5584702
-43.08005,6.6877484,-7.549595
-43.032032,6.7456875,-7.5452676
-43.019016,6.7401876,-7.5428343
-43.00911,5.7618113,-6.9533668
-42.871967,4.302482,-6.967903
-42.600903,4.348259,-6.982097
-42.65252,4.35918,-6.9843583
-42.65823,4.3694453,-6.983993
-42.659565,4.3711514,-6.9827943
-42.65968,4.3706512,-6.981285
-42.660084,3.303819,-7.3154626
